# CSV-File created with merge-csv.com,,,,,,,,,,,
# -----------------------------------------------------------,,,,,,,,,,,
,,,,,,,,,,,
List Sekolah SMA,,,,,,,,,,,
No,Nama Sekolah,NPSN,BP,Status,Latitude & Longitude,,,,,,
5,SMP CITRA CEMARA,69894450,SMP,Swasta,,,,,,,
5,SMP ISLAM CENDEKIA MUDA,20270078,SMP,Swasta,,,,,,,
5,SMP GANTRA,20219460,SMP,Swasta,,,,,,,
5,SMP IGNATIUS SLAMET RIYADI,20219455,SMP,Swasta,,,,,,,
5,SMP NEGERI 60,69989952,SMP,Negeri,,,,,,,
5,SMP BINA DHARMA 3,20219185,SMP,Swasta,,,,,,,
5,SMP MUSLIMIN 5,20219506,SMP,Swasta,,,,,,,
5,SMP ISLAM AL WASLIYAH,20219190,SMP,Swasta,,,,,,,
5,SMP NURUL HIDAYAH,69931767,SMP,Swasta,,,,,,,
5,SMP NEGERI 75,70007929,SMP,Negeri,,,,,,,
5,SMP MUHAMMADIYAH 6,20219439,SMP,Swasta,,,,,,,
5,SMP PAHLAWAN TOHA,20219508,SMP,Swasta,,,,,,,
5,SMP AISYIYAH BOARDING SCHOOL,69967036,SMP,Swasta,,,,,,,
5,SMP ISTIQAMAH,20219452,SMP,Swasta,,,,,,,
5,SMP BPK PENABUR BANDA,69952844,SMP,Swasta,,,,,,,
5,SMP KRISTEN KALAM KUDUS,20219468,SMP,Swasta,,,,,,,
5,SMP BPP,20219203,SMP,Swasta,,,,,,,
5,SMP AL HASAN,20219192,SMP,Swasta,,,,,,,
5,SMP KUNTUM CEMERLANG,69895404,SMP,Swasta,,,,,,,
5,SMP PELITA BANGSA,20219482,SMP,Swasta,,,,,,,
5,SMP ISLAM AL AZHAR 42 SUMMARECON BANDUNG,70044650,SMP,Swasta,,,,,,,
6,SMP ALAM BANDUNG,69967172,SMP,Swasta,,,,,,,
6,SMP KARTIKA X-1,20219448,SMP,Swasta,,,,,,,
6,SMP ADVENT CIMINDI,20219208,SMP,Swasta,,,,,,,
6,SMP HIKMAH TELADAN,60726214,SMP,Swasta,,,,,,,
6,SMP MUHAMMADIYAH 3,20219442,SMP,Swasta,,,,,,,
6,SMP PASUNDAN 7,20219498,SMP,Swasta,,,,,,,
6,SMP ISLAM TERPADU LUQMANUL HAKIM,69991119,SMP,Swasta,,,,,,,
6,SMP GEMA PANCASILA,20219459,SMP,Swasta,,,,,,,
6,SMP NUSANTARA RAYA,20219499,SMP,Swasta,,,,,,,
6,SMP ASSALAAM,20219187,SMP,Swasta,,,,,,,
6,SMP DAARUT TAUHIID BOARDING SCHOOL,69895381,SMP,Swasta,,,,,,,
6,SMP PLUS INTAN AL-SALI,70003597,SMP,Swasta,,,,,,,
6,SMP PGRI 7,20219495,SMP,Swasta,,,,,,,
6,SMP PGRI 8,20219494,SMP,Swasta,,,,,,,
6,SMP MUTIARA 3,20219504,SMP,Swasta,,,,,,,
6,SMP SEMI PALAR,69942302,SMP,Swasta,,,,,,,
6,SMP PASUNDAN 5,20219512,SMP,Swasta,,,,,,,
6,SMP PGRI 1,20219476,SMP,Swasta,,,,,,,
6,SMP PASUNDAN 8,20219497,SMP,Swasta,,,,,,,
6,SMP KRISTEN BAPTIS,20219471,SMP,Swasta,,,,,,,
6,SMP MUHAMMADIYAH 7,60726482,SMP,Swasta,,,,,,,
6,SMP EDU GLOBAL,69946478,SMP,Swasta,,,,,,,
6,SMP GUNA DHARMA,20219458,SMP,Swasta,,,,,,,
6,SMP PGRI 2,20219475,SMP,Swasta,,,,,,,
6,SMP YAMI,20219374,SMP,Swasta,,,,,,,
7,SMP DARUL HIKAM,20219198,SMP,Swasta,,,,,,,
7,SMP KEMALA BHAYANGKARI,20219431,SMP,Swasta,,,,,,,
7,SMP BODHI SINAR TERANG,70012579,SMP,Swasta,,,,,,,
7,SMP KRISTEN 1 BINA BAKTI,20219451,SMP,Swasta,,,,,,,
7,SMP PELITA,20219483,SMP,Swasta,,,,,,,
7,SMP PLUS SINDANG RESMI,20219489,SMP,Swasta,,,,,,,
7,SMP LANGLANGBUANA 2,20219427,SMP,Swasta,,,,,,,
7,SMP KARYA PEMBANGUNAN 10,20219433,SMP,Swasta,,,,,,,
7,SMP SANTO YUSUP,20219360,SMP,Swasta,,,,,,,
7,SMP DEWI SARTIKA,20219197,SMP,Swasta,,,,,,,
7,SMP KARTIKA XIX-2,20219449,SMP,Swasta,,,,,,,
7,SMP SETIA BHAKTI,69774738,SMP,Swasta,,,,,,,
7,SMP PASUNDAN 9,20219496,SMP,Swasta,,,,,,,
7,SMP BANDUNG INDEPENDENT SCHOOL,69850866,SPK SMP,Swasta,,,,,,,
7,SMP PELITA FAJAR,69946483,SMP,Swasta,,,,,,,
7,SMP PGRI 3,20219484,SMP,Swasta,,,,,,,
7,SMP PGII 2,20219477,SMP,Swasta,,,,,,,
7,SMP KRISTEN YAHYA,20219464,SMP,Swasta,,,,,,,
7,SMP YP SEJATI,20219367,SMP,Swasta,,,,,,,
7,SMP KARTIKA XIX-1,20219450,SMP,Swasta,,,,,,,
7,SMP INTELIGENSIA,70007903,SMP,Swasta,,,,,,,
7,SMP GLOBAL PRESTASI BANDUNG,69904075,SPK SMP,Swasta,,,,,,,
8,SMP KEMAH INDONESIA 4,20219432,SMP,Swasta,,,,,,,
8,SMP KRISTEN 4 BPK PENABUR,20219463,SMP,Swasta,,,,,,,
8,SMP KIANSANTANG,20219430,SMP,Swasta,,,,,,,
8,SMP KRISTEN 1 BPK PENABUR,20219461,SMP,Swasta,,,,,,,
8,SMP YAYASAN ATIKAN SUNDA,20219372,SMP,Swasta,,,,,,,
8,SMP YPKKP,20219353,SMP,Swasta,,,,,,,
8,SMP MUHAMMADIYAH 9,20219425,SMP,Swasta,,,,,,,
8,SMP NAJIB BARIQ,70034886,SMP,Swasta,,,,,,,
8,SMP VIJAYA KUSUMA,20252187,SMP,Swasta,,,,,,,
8,SMP KRISTEN REHOBOTH,20219466,SMP,Swasta,,,,,,,
8,SMP LABORATORIUM-PERCONTOHAN UPI,20219429,SMP,Swasta,,,,,,,
8,SMP TULUS KARTIKA,20219365,SMP,Swasta,,,,,,,
8,SMP SWADAYA 1,20219358,SMP,Swasta,,,,,,,
8,SMP YPU,20219352,SMP,Swasta,,,,,,,
8,SMP SUMATERA 40,20219359,SMP,Swasta,,,,,,,
8,SMP PERTIWI,20219479,SMP,Swasta,,,,,,,
8,SMP YUDHISTIRA,69725735,SMP,Swasta,,,,,,,
8,SMP SANTA ANGELA,20219376,SMP,Swasta,,,,,,,
8,SMP ISLAM TERPADU AR-RIFQI,70042446,SMP,Swasta,,,,,,,
9,SMP NASIONAL,20219502,SMP,Swasta,,,,,,,
9,SMP MAARIF,20219435,SMP,Swasta,,,,,,,
9,SMP KRISTEN 5 BPK PENABUR,20219472,SMP,Swasta,,,,,,,
9,SMP KRISTEN 2 BINA BAKTI,20219462,SMP,Swasta,,,,,,,
9,SMP MUTIARA BUNDA,20258091,SMP,Swasta,,,,,,,
9,SMP PGRI 10,20219491,SMP,Swasta,,,,,,,
9,SMP NUGRAHA,20219501,SMP,Swasta,,,,,,,
9,SMP MIFTAHUL IMAN,20219447,SMP,Swasta,,,,,,,
9,SMP SWADAYA 2,20219357,SMP,Swasta,,,,,,,
9,SMP PRIBADI,20254287,SPK SMP,Swasta,,,,,,,
9,SMP SANTA MARIA,20219363,SMP,Swasta,,,,,,,
9,SMP SANTO YUSUP 2,69978668,SMP,Swasta,,,,,,,
9,SMP ISLAM TERPADU SAINS AL BIRUNI,70051764,SMP,Swasta,,,,,,,
10,SMP PASUNDAN 3,20219514,SMP,Swasta,,,,,,,
10,SMP MUHAMMADIYAH 1,20219446,SMP,Swasta,,,,,,,
10,SMP KRISTEN BALA KESELAMATAN,20269707,SMP,Swasta,,,,,,,
10,SMP KRISTEN BPPK,20219470,SMP,Swasta,,,,,,,
10,SMP PLUS AL GHIFARI,20219490,SMP,Swasta,,,,,,,
10,SMP PLUS BAITURRAHMAN,20254716,SMP,Swasta,,,,,,,
10,SMP PASUNDAN 1,20219518,SMP,Swasta,,,,,,,
10,SMP PASUNDAN 10,20219517,SMP,Swasta,,,,,,,
10,SMP SANTA URSULA,20247311,SMP,Swasta,,,,,,,
10,SMP WYATA DHARMA,20219375,SMP,Swasta,,,,,,,
10,SMP JUARA BANDUNG,60726518,SMP,Swasta,,,,,,,
11,SMP PGII 1,20219478,SMP,Swasta,,,,,,,
11,SMP MUSLIMIN 3,20219507,SMP,Swasta,,,,,,,
11,SMP LPPN,20219426,SMP,Swasta,,,,,,,
11,SMP KRISTEN PAULUS,20219467,SMP,Swasta,,,,,,,
11,SMP SURYA KENCANA BHAKTI,69895402,SMP,Swasta,,,,,,,
11,SMP QLP RABBANI BANDUNG,70037522,SMP,Swasta,,,,,,,
11,SMP PASUNDAN 2,20219515,SMP,Swasta,,,,,,,
11,SMP PASUNDAN 12,20219516,SMP,Swasta,,,,,,,
11,SMP SANTO ALOYSIUS,20219362,SMP,Swasta,,,,,,,
11,SMP NEHRU MEMORIAL SCHOOL,69883567,SPK SMP,Swasta,,,,,,,
11,SMP MUHAMMADIYAH 10,20219445,SMP,Swasta,,,,,,,
12,SMP PGRI 6,20219485,SMP,Swasta,,,,,,,
12,SMP PASUNDAN 6,20219511,SMP,Swasta,,,,,,,
12,SMP MUHAMMADIYAH 4,20219441,SMP,Swasta,,,,,,,
12,SMP KRISTEN TRIMULIA,20219465,SMP,Swasta,,,,,,,
12,SMP TAHFIZHUL QURAN AMANAH UMMAH,69895399,SMP,Swasta,,,,,,,
12,SMP TRIYASA,20219364,SMP,Swasta,,,,,,,
12,SMP SEBELAS MARET,20247312,SMP,Swasta,,,,,,,
12,SMP TEMASEK INDEPENDENT SCHOOL,69935557,SMP,Swasta,,,,,,,
12,SMP TARUNA BAKTI,20219355,SMP,Swasta,,,,,,,
12,SMP PLUS TEMARA ILMU,60728644,SMP,Swasta,,,,,,,
13,SMP SALMAN AL FARISI,20219424,SMP,Swasta,,,,,,,
13,SMP TAMANSISWA,20219356,SMP,Swasta,,,,,,,
13,SMP MUTIARA 1,20219505,SMP,Swasta,,,,,,,
13,SMP MUHAMMADIYAH 2,20219443,SMP,Swasta,,,,,,,
13,SMP YOS SUDARSO,20219368,SMP,Swasta,,,,,,,
14,SMP MUTIARA 4,20219503,SMP,Swasta,,,,,,,
14,SMP PANDU,20219510,SMP,Swasta,,,,,,,
15,SMP PAJAJARAN 1,20219509,SMP,Swasta,,,,,,,
15,SMP PGRI 4,20219493,SMP,Swasta,,,,,,,
16,SMP PASUNDAN 4,20219513,SMP,Swasta,,,,,,,
16,SMP YAQIN,20219373,SMP,Swasta,,,,,,,
17,SMP RAJAWALI,20219474,SMP,Swasta,,,,,,,
17,SMP YAYASAN BUDI BAKTI,20219371,SMP,Swasta,,,,,,,
18,SMP TERANG NUSANTARA,70034887,SMP,Swasta,,,,,,,
18,SMP YPI,20219354,SMP,Swasta,,,,,,,
19,SMP WARINGIN,20219366,SMP,Swasta,,,,,,,
20,SMP YWKA,20219338,SMP,Swasta,No,Nama Sekolah,NPSN,BP,Status,Last Sync,Latitude & Longitude
1,SDN 007 CIPAGANTI KOTA BANDUNG,20245525,SD,Negeri,"-6.894511165563448, 107.60273793686984",,,,,,
1,SDN 066 HALIMUN KOTA BANDUNG,20245031,SD,Negeri,"-6.927025881648785, 107.62457696570574",,,,,,
1,SDN 002 KARANGMULYA KOTA BANDUNG,20245212,SD,Negeri,"-6.912343626919164, 107.58037239454097",,,,,,
1,SDN 013 PASIRKALIKI KOTA BANDUNG,20245742,SD,Negeri,"-6.907651066340648, 107.59777729454086",,,,,,
1,SDN 022 CICADAS KOTA BANDUNG,20245153,SD,Negeri,"-6.9051540137609635, 107.64399699454079",,,,,,
1,SDN 011 CIBUNTU KOTA BANDUNG,20244743,SD,Negeri,"-6.918949425552091, 107.5760731080348",,,,,,
1,SDN 004 CISARANTEN KULON KOTA BANDUNG,20245530,SD,Negeri,"-6.924403227474856, 107.68356563871833",,,,,,
1,SDN 021 CIPOREAT KOTA BANDUNG,20245527,SD,Negeri,"-6.916952011672366, 107.7061878368535",,,,,,
1,SDN 017 SEKEJATI KOTA BANDUNG,20245760,SD,Negeri,"-6.940180886002792, 107.65296877919963",,,,,,
1,SDN 008 MOHAMAD TOHA KOTA BANDUNG,20245238,SD,Negeri,"-6.9299067857882335, 107.60656780803491",,,,,,
1,SDN 097 CIRATEUN KULON KOTA BANDUNG,20244855,SD,Negeri,"-6.84344274045181, 107.59775296570436",,,,,,
1,SDN 029 CILENGKRANG KOTA BANDUNG,20245494,SD,Negeri,"-6.91346432246533, 107.719526935022",,,,,,
1,SDN 006 BUAHBATU KOTA BANDUNG,20245122,SD,Negeri,"-6.951410293833066, 107.64072475221244",,,,,,
1,SDN 078 SINDANGSARI ANTAPANI KOTA BANDUNG,20245441,SD,Negeri,"-6.905880571179425, 107.66454400803453",,,,,,
1,SDN 005 BABAKAN CIPARAY KOTA BANDUNG,20245011,SD,Negeri,"-6.948672592676331, 107.5872861712503",,,,,,
1,SDN 018 SUKAGALIH KOTA BANDUNG,20245266,SD,Negeri,"-6.892494367156788, 107.5935503215279",,,,,,
1,SDN 099 BABAKAN TAROGONG KOTA BANDUNG,20244943,SD,Negeri,"-6.938247486169745, 107.59382829454134",,,,,,
1,SDN 028 GUMURUH KOTA BANDUNG,20244864,SD,Negeri,"-6.923461829285472, 107.63087629454112",,,,,,
1,SDN 069 CIPAMOKOLAN DERWATI KOTA BANDUNG,20245502,SD,Negeri,"-6.964664051372708, 107.68299300618732",,,,,,
1,SDN 009 CIKADUT KOTA BANDUNG,20245520,SD,Negeri,"-6.9034860126737305, 107.66565020803445",,,,,,
1,SDN 025 CIKUTRA KOTA BANDUNG,20245172,SD,Negeri,"-6.8931829649079805, 107.63724880988231",,,,,,
1,SDN 037 SABANG KOTA BANDUNG,20245285,SD,Negeri,"-6.908399832737974, 107.62087980803453",,,,,,
1,SDN 026 BOJONGLOA KOTA BANDUNG,20244953,SD,Negeri,"-6.948719292322922, 107.59402389454145",,,,,,
1,SDN 001 MERDEKA KOTA BANDUNG,20245231,SD,Negeri,"-6.915399328224887, 107.60976749638911",,,,,,
1,SDN 010 CIDADAP KOTA BANDUNG,20245138,SD,Negeri,"-6.864427554595525, 107.59449669269203",,,,,,
1,SDN 003 PAGARSIH KOTA BANDUNG,20245064,SD,Negeri,"-6.922618167199213, 107.59444220988277",,,,,,
1,SDN 086 CIMINCRANG KOTA BANDUNG,20245497,SD,Negeri,"-6.945787841241417, 107.70473167919965",,,,,,
1,SDN 040 PASAWAHAN KOTA BANDUNG,20245073,SD,Negeri,"-6.9573345951129815, 107.61302745193733",,,,,,
1,SDN 052 CISARANTEN WETAN GEDEBAGE KOTA BANDUNG,20245534,SD,Negeri,"-6.940535838143897, 107.6916829350224",,,,,,
1,SDN 105 SUKARELA KOTA BANDUNG,20245790,SD,Negeri,"-6.924247183748698, 107.70469102152849",,,,,,
2,SDN 024 COBLONG KOTA BANDUNG,20245546,SD,Negeri,"-6.879303458065963, 107.61663622152784",,,,,,
2,SDN 067 NILEM KOTA BANDUNG,20245050,SD,Negeri,"-6.93596548608449, 107.61982148104754",,,,,,
2,SDN 049 DURMAN KOTA BANDUNG,20245193,SD,Negeri,"-6.918174057647829, 107.59972451969698",,,,,,
2,SDN 015 KRESNA KOTA BANDUNG,20245706,SD,Negeri,"-6.909440416556142, 107.59284645221172",,,,,,
2,SDN 027 CICADAS KOTA BANDUNG,20245149,SD,Negeri,"-6.905725273096007, 107.64358225221164",,,,,,
2,SDN 014 CIGONDEWAH KOTA BANDUNG,20244836,SD,Negeri,"-6.934092685868105, 107.56342749269318",,,,,,
2,SDN 057 BINAHARAPAN KOTA BANDUNG,20245481,SD,Negeri,"-6.91595228229788, 107.6871108387181",,,,,,
2,SDN 036 UJUNGBERUNG KOTA BANDUNG,20245826,SD,Negeri,"-6.912780071243765, 107.70193535036368",,,,,,
2,SDN 038 KIARACONDONG KOTA BANDUNG,20245701,SD,Negeri,"-6.933077433513769, 107.64308457919944",,,,,,
2,SDN 020 LENGKONG BESAR KOTA BANDUNG,20245219,SD,Negeri,"-6.930388731997354, 107.61334700803495",,,,,,
2,SDN 100 CIPEDES KOTA BANDUNG,20245922,SD,Negeri,"-6.869107456686469, 107.58778709269214",,,,,,
2,SDN 050 CIBIRU KOTA BANDUNG,20245488,SD,Negeri,"-6.934005936188012, 107.72133280803489",,,,,,
2,SDN 095 BABAKANJATI KOTA BANDUNG,20246455,SD,Negeri,"-6.947955242000066, 107.6504931196808",,,,,,
2,SDN 209 ANTAPANI KOTA BANDUNG,20245442,SD,Negeri,"-6.910010464234338, 107.657855635022",,,,,,
2,SDN 012 BABAKAN CIPARAY KOTA BANDUNG,20245013,SD,Negeri,"-6.945106191056899, 107.58328440803515",,,,,,
2,SDN 048 SIRNAMANAH KOTA BANDUNG,20244920,SD,Negeri,"-6.887941559530334, 107.59795953871769",,,,,,
2,SDN 118 TANJUNG KOTA BANDUNG,20244990,SD,Negeri,"-6.929705933433698, 107.58889476570575",,,,,,
2,SDN 042 GAMBIR KOTA BANDUNG,20244857,SD,Negeri,"-6.919969530178804, 107.62725949638904",,,,,,
2,SDN 087 RANCABOLANG KOTA BANDUNG,20246414,SD,Negeri,"-6.950053243081583, 107.66216163502249",,,,,,
2,SDN 046 SINDANGLAYA KOTA BANDUNG,20245768,SD,Negeri,"-6.903332465720631, 107.6802195675534",,,,,,
2,SDN 082 MUARARAJEUN KOTA BANDUNG,20245242,SD,Negeri,"-6.902047013891588, 107.63166322152817",,,,,,
2,SDN 062 CIUJUNG KOTA BANDUNG,20245187,SD,Negeri,"-6.9067209657550706, 107.62964676570535",,,,,,
2,SDN 148 CIBADUYUT KOTA BANDUNG,20244963,SD,Negeri,"-6.956265396470036, 107.59090345221256",,,,,,
2,SDN 034 PATRAKOMALA KOTA BANDUNG,20245745,SD,Negeri,"-6.911655419724132, 107.6216034522118",,,,,,
2,SDN 030 CIRATEUN KOTA BANDUNG,20245140,SD,Negeri,"-6.846669608281976, 107.60123426570449",,,,,,
2,SDN 019 PABAKI KOTA BANDUNG,20245054,SD,Negeri,"-6.927099881685487, 107.59613826755383",,,,,,
2,SDN 190 CISARANTEN KIDUL KOTA BANDUNG,20245505,SD,Negeri,"-6.944297888734781, 107.68508999454141",,,,,,
2,SDN 094 PARAKANWAAS KOTA BANDUNG,20245072,SD,Negeri,"-6.9526077458632685, 107.62680235221244",,,,,,
2,SDN 172 ANDIR KIDUL KOTA BANDUNG,20245439,SD,Negeri,"-6.913307397737562, 107.69561305405989",,,,,,
2,SDN 258 SUKARELA KOTA BANDUNG,20245792,SD,Negeri,"-6.922829331402162, 107.70084192522458",,,,,,
3,SD EDU GLOBAL,69980373,SD,Swasta,"-6.9015975179734514, 107.62434548104704",,,,,,
3,SD ISLAM KARAKTER BAITURRAHMAH,70051795,SD,Swasta,"-6.930505983374914, 107.68505560988291",,,,,,
3,SDN 031 PELESIRAN KOTA BANDUNG,20245749,SD,Negeri,"-6.895337812282076, 107.6073602908445",,,,,,
3,SDN 115 TURANGGA KOTA BANDUNG,20245097,SD,Negeri,"-6.93125563332635, 107.63525633687023",,,,,,
3,SDN 056 GARUDA DADALI KOTA BANDUNG,20245196,SD,Negeri,"-6.91135071953902, 107.57699540803459",,,,,,
3,SDN 016 DR. CIPTO PAJAJARAN KOTA BANDUNG,20245566,SD,Negeri,"-6.906386816524937, 107.59990378104709",,,,,,
3,SDN 043 CIMUNCANG KOTA BANDUNG,20245178,SD,Negeri,"-6.903891080585403, 107.64782492337629",,,,,,
3,SDN 041 CIBUNTU WARUNG MUNCANG KOTA BANDUNG,20244744,SD,Negeri,"-6.922651530095341, 107.57591892337648",,,,,,
3,SDN 101 SUKAKARYA KOTA BANDUNG,20245795,SD,Negeri,"-6.907008971737281, 107.67538929454078",,,,,,
3,SDN 106 AJITUNGGAL CIJAMBE KOTA BANDUNG,20246393,SD,Negeri,"-6.908686266992475, 107.69280115221183",,,,,,
3,SDN 083 BABAKAN SURABAYA KOTA BANDUNG,20245470,SD,Negeri,"-6.919694530061181, 107.64452642337643",,,,,,
3,SDN 033 ASMI KOTA BANDUNG,20245201,SD,Negeri,"-6.929162478041868, 107.607900450364",,,,,,
3,SDN 137 CIJEROKASO KOTA BANDUNG,20244848,SD,Negeri,"-6.871001064642019, 107.5805764233758",,,,,,
3,SDN 090 CIBIRU KOTA BANDUNG,20245487,SD,Negeri,"-6.934042681566283, 107.7211130522121",,,,,,
3,SDN 129 RANCASAWO MARGASARI KOTA BANDUNG,20246417,SD,Negeri,"-6.959123896343544, 107.67098015406062",,,,,,
3,SDN 248 SINDANGSARI KOTA BANDUNG,20245778,SD,Negeri,"-6.926580833007693, 107.66464743502223",,,,,,
3,SDN 058 BABAKAN CIPARAY KOTA BANDUNG,20245014,SD,Negeri,"-6.9473769919803186, 107.58549439269333",,,,,,
3,SDN 071 SUKAGALIH KOTA BANDUNG,20245267,SD,Negeri,"-6.892230905344208, 107.59236052337603",,,,,,
3,SDN 147 CITARIP BARAT KOTA BANDUNG,20244969,SD,Negeri,"-6.938903939283115, 107.58518839454128",,,,,,
3,SDN 063 KEBON GEDANG KOTA BANDUNG,20245950,SD,Negeri,"-6.927821384037816, 107.6415867675538",,,,,,
3,SDN 122 CIJAWURA KOTA BANDUNG,20245169,SD,Negeri,,,,,,,
3,SDN 055 JATIHANDAP KOTA BANDUNG,20245598,SD,Negeri,,,,,,,
3,SDN 132 CIHAURGEULIS KOTA BANDUNG,20245165,SD,Negeri,,,,,,,
3,SDN 200 LEUWIPANJANG KOTA BANDUNG,20244980,SD,Negeri,,,,,,,
3,SDN 035 SOKA KOTA BANDUNG,20245781,SD,Negeri,,,,,,,
3,SDN 085 CIUMBULEUIT KOTA BANDUNG,20245142,SD,Negeri,,,,,,,
3,SDN 023 PAJAGALAN KOTA BANDUNG,20244745,SD,Negeri,,,,,,,
3,SDN 215 RANCASAGATAN KOTA BANDUNG,20245759,SD,Negeri,,,,,,,
3,SDN 117 BATUNUNGGAL KOTA BANDUNG,20245021,SD,Negeri,,,,,,,
3,SDN 262 PANYILEUKAN KOTA BANDUNG,20245724,SD,Negeri,,,,,,,
4,SD ISTIQAMAH,20219578,SD,Swasta,,,,,,,
4,SDN 032 TILIL KOTA BANDUNG,20245822,SD,Negeri,,,,,,,
4,SDN 119 CIJAGRA KOTA BANDUNG,20245023,SD,Negeri,,,,,,,
4,SDN 091 CIBEUREUM KOTA BANDUNG,20245129,SD,Negeri,,,,,,,
4,SDN 045 PASIRKALIKI KOTA BANDUNG,20245735,SD,Negeri,,,,,,,
4,SDN 044 CICADAS AWIGOMBONG KOTA BANDUNG,20245157,SD,Negeri,,,,,,,
4,SDN 061 CIJERAH KOTA BANDUNG,20244841,SD,Negeri,,,,,,,
4,SDN 140 ARCAMANIK KOTA BANDUNG,20245447,SD,Negeri,,,,,,,
4,SDN 107 PALEDANG KOTA BANDUNG,20245729,SD,Negeri,,,,,,,
4,SDN 111 PINDAD KOTA BANDUNG,20245751,SD,Negeri,,,,,,,
4,SDN 047 BALONGGEDE KOTA BANDUNG,20251861,SD,Negeri,,,,,,,
4,SDN 138 GEGERKALONG GIRANG KOTA BANDUNG,20247203,SD,Negeri,,,,,,,
4,SDN 102 CIKUDAYASA KOTA BANDUNG,20245492,SD,Negeri,,,,,,,
4,SDN 131 CIJAWURA KOTA BANDUNG,20245171,SD,Negeri,,,,,,,
4,SDN 254 GRIYA BUMI ANTAPANI KOTA BANDUNG,20245583,SD,Negeri,,,,,,,
4,SDN 059 CIRANGRANG KOTA BANDUNG,20245025,SD,Negeri,,,,,,,
4,SDN 076 SUKAJADI KOTA BANDUNG,20244925,SD,Negeri,,,,,,,
4,SDN 251 JAMIKA KOTA BANDUNG,20244975,SD,Negeri,,,,,,,
4,SDN 081 KEBON GEDANG KRIDAWINAYA KOTA BANDUNG,20245956,SD,Negeri,,,,,,,
4,SDN 222 PASIRPOGOR KOTA BANDUNG,20246413,SD,Negeri,,,,,,,
4,SDN 068 SINDANGLAYA KOTA BANDUNG,20245769,SD,Negeri,,,,,,,
4,SDN 149 CIGADUNG KOTA BANDUNG,20245162,SD,Negeri,,,,,,,
4,SDN 228 CANGKUANG KOTA BANDUNG,20244959,SD,Negeri,,,,,,,
4,SDN 088 EMBONG KOTA BANDUNG,20245568,SD,Negeri,,,,,,,
4,SDN 108 CIUMBULEUIT KOTA BANDUNG,20245144,SD,Negeri,,,,,,,
4,SDN 039 TEGALLEGA KOTA BANDUNG,20245095,SD,Negeri,,,,,,,
4,SDN 216 SONDARIAH KOTA BANDUNG,20245780,SD,Negeri,,,,,,,
4,SDN 130 SEKELIMUS BATUNUNGGAL KOTA BANDUNG,20245084,SD,Negeri,,,,,,,
4,SDN 268 PANYILEUKAN KOTA BANDUNG,20245726,SD,Negeri,,,,,,,
5,SD KRISTEN BAPTIS,20219584,SD,Swasta,,,,,,,
5,SDN 053 CISITU KOTA BANDUNG,20245537,SD,Negeri,,,,,,,
5,SDN 135 TURANGGA KOTA BANDUNG,20245098,SD,Negeri,,,,,,,
5,SDN 098 CIROYOM KOTA BANDUNG,20245141,SD,Negeri,,,,,,,
5,SDN 051 PASIRKALIKI KOTA BANDUNG,20245740,SD,Negeri,,,,,,,
5,SDN 064 PADASUKA KOTA BANDUNG,20245247,SD,Negeri,,,,,,,
5,SDN 080 BOJONG INDAH CIBUNTU KOTA BANDUNG,20244740,SD,Negeri,,,,,,,
5,SDN 141 LOKAJAYA KOTA BANDUNG,20245712,SD,Negeri,,,,,,,
5,SDN 224 CIJAMBE KOTA BANDUNG,20245517,SD,Negeri,,,,,,,
5,SDN 116 CICAHEUM KOTA BANDUNG,20245512,SD,Negeri,,,,,,,
5,SDN 070 PASIRLUYU KOTA BANDUNG,20246459,SD,Negeri,,,,,,,
5,SDN 139 SUKARASA KOTA BANDUNG,20244928,SD,Negeri,,,,,,,
5,SDN 124 HANURA KOTA BANDUNG,20245586,SD,Negeri,,,,,,,
5,SDN 184 BUAHBATU KOTA BANDUNG,20246396,SD,Negeri,,,,,,,
5,SDN 255 GRIYA BUMI ANTAPANI KOTA BANDUNG,20245575,SD,Negeri,,,,,,,
5,SDN 060 RAYA BARAT KOTA BANDUNG,20245078,SD,Negeri,,,,,,,
5,SDN 077 SEJAHTERA KOTA BANDUNG,20245980,SD,Negeri,,,,,,,
5,SDN 270 GENTRA MASEKDAS KOTA BANDUNG,20244974,SD,Negeri,,,,,,,
5,SDN 109 CENTEH KOTA BANDUNG,20244829,SD,Negeri,,,,,,,
5,SDN 263 RANCALOA KOTA BANDUNG,20245756,SD,Negeri,,,,,,,
5,SDN 084 CIKADUT KOTA BANDUNG,20245521,SD,Negeri,,,,,,,
5,SDN 201 SUKALUYU KOTA BANDUNG,20245280,SD,Negeri,,,,,,,
5,SDN 229 CIBADUYUT KOTA BANDUNG,20244966,SD,Negeri,,,,,,,
5,SDN 113 BANJARSARI KOTA BANDUNG,20245475,SD,Negeri,,,,,,,
5,SDN 134 PANORAMA KOTA BANDUNG,20245244,SD,Negeri,,,,,,,
5,SDN 073 PAJAGALAN KOTA BANDUNG,20247280,SD,Negeri,,,,,,,
5,SDN 274 CEMPAKA ARUM KOTA BANDUNG,20245486,SD,Negeri,,,,,,,
5,SDN 250 JAKAPURWA KOTA BANDUNG,20245034,SD,Negeri,,,,,,,
5,SDN 271 PANGHEGAR KOTA BANDUNG,20245723,SD,Negeri,,,,,,,
6,SD AL FATAH,20219525,SD,Swasta,,,,,,,
6,SD ASY-SYIFA 1,20219539,SD,Swasta,,,,,,,
