# CSV-File created with merge-csv.com,,,,,,,,,,,
# -----------------------------------------------------------,,,,,,,,,,,
,,,,,,,,,,,
List Sekolah SMA,,,,,,,,,,,
No,Nama Sekolah,NPSN,BP,Status,Latitude & Longitude,,,,,,
1,SMAN 20 BANDUNG,20219253,SMA,Negeri,"-6.90419221211588, 107.62228946955975",,,,,,
1,SMA HARAPAN KASIH,69979164,SMA,Swasta,"-6.951850080337307, 107.60323141141173",,,,,,
1,SMAN 3 BANDUNG,20219327,SMA,Negeri,"-6.911516009350843, 107.6149905625318",,,,,,
1,SMA AL BIRUNI CERDAS MULIA,69965368,SMA,Swasta,"-6.939795343493674, 107.71199915807045",,,,,,
1,SMA Kuntum Cemerlang,69895412,SMA,Swasta,"-6.861653891835802, 107.60498930141426",,,,,,
1,SMAK GAMALIEL,20253894,SMA,Swasta,"-6.919207907652878, 107.59701905812875",,,,,,
1,SMAN 27 BANDUNG,20265516,SMA,Negeri,"-6.958634251950449, 107.70740013025629",,,,,,
1,SMAS ALLOYSIUS 2,20219262,SMA,Swasta,"-6.874924680593086, 107.59704137767298",,,,,,
2,SMAN 19 BANDUNG,20219246,SMA,Negeri,"-6.872864111077751, 107.61736518400029",,,,,,
2,SMAN 7 BANDUNG,20219316,SMA,Negeri,"-6.922671322236968, 107.61550389205041",,,,,,
2,SMAN 4 BANDUNG,20219312,SMA,Negeri,"-6.918241190628289, 107.5988430017864",,,,,,
2,SMAN 9 BANDUNG,20219324,SMA,Negeri,"-6.900351078338678, 107.58650173905077",,,,,,
2,SMAN 14 BANDUNG,20219239,SMA,Negeri,"-6.902266671351678, 107.63726853532461",,,,,,
2,SMA Citra Cemara,70024550,SMA,Swasta,"-6.918589693004781, 107.57580120213997",,,,,,
2,SMAS MUTIARA BUNDA,20258092,SMA,Swasta,"-6.908069848374639, 107.67089731090337",,,,,,
2,SMAS BAITURRAHMAN,20247287,SMA,Swasta,"-6.90769437300637, 107.70735490048526",,,,,,
2,SMAN 16 BANDUNG,20219237,SMA,Negeri,"-6.925702025746385, 107.6571869252399",,,,,,
2,SMAS NUGRAHA BANDUNG,20219786,SMA,Swasta,"-6.950668041562904, 107.61275570138748",,,,,,
2,SMA Daarut Tauhiid Boarding School Putri,70029866,SMA,Swasta,"-6.863211400513094, 107.59140663341408",,,,,,
2,SMA PLUS INTAN AL-SALI,70051821,SMA,Swasta,"-6.912857281184989, 107.71827670046842",,,,,,
2,SMA AL KENZIE,70006693,SMA,Swasta,"-6.957178927305871, 107.6593726356185",,,,,,
2,SMKN 13 BANDUNG,20219161,SMK,Negeri,"-6.938373641960615, 107.65724196404578",,,,,,
2,SMAS MUHAMMADIYAH 2,20219806,SMA,Swasta,"-6.903958525876172, 107.68099663617481",,,,,,
2,SMAS PGRI 1 BANDUNG,20219780,SMA,Swasta,"-6.89171257414426, 107.59044842697023",,,,,,
2,SMA PELITA FAJAR,69991690,SMA,Swasta,"-6.919106579803634, 107.58964723024275",,,,,,
2,SMAS AL HADI,20219757,SMA,Swasta,"-6.9031712566586165, 107.6685720656343",,,,,,
2,SMA PGII 2,20219781,SMA,Swasta,"-6.900538008432415, 107.63418045325561",,,,,,
2,Sekolah Menengah Atas Kristen (SMAK) BPK Penabur Banda,70028130,SMA,Swasta,"-6.905446174689979, 107.61639507969086",,,,,,
2,SMAK BPK PENABUR SINGGASANA,70012920,SMA,Swasta,"-6.953618496368962, 107.59974728900899",,,,,,
2,SMAN 5 BANDUNG,20219309,SMA,Negeri,"-6.911405631224081, 107.6144985418379",,,,,,
2,SMA INTELIGENSIA,70011502,SMA,Swasta,"-6.903255669269694, 107.62822577322449",,,,,,
2,SMAS BUNGA BANGSA BANDUNG,20219721,SMA,Swasta,"-6.862837645093804, 107.62142857853884",,,,,,
2,SMAS PELITA BANGSA,20219784,SMA,Swasta,"-6.942071732760354, 107.6497520482218",,,,,,
2,SMA Al-Ihsan Cimencrang Bandung,70032509,SMA,Swasta,"-6.943643221634391, 107.70738736098029",,,,,,
3,SMAN 2 BANDUNG,20219254,SMA,Negeri,"-6.888647805237674, 107.60360896591479",,,,,,
3,SMAN 8 BANDUNG,20219326,SMA,Negeri,"-6.938103802088673, 107.62813888054188",,,,,,
3,SMA KRISTEN BPPK,20219810,SMA,Swasta,"-6.915411161464777, 107.60060249608885",,,,,,
3,SMAS ANGKASA,20219756,SMA,Swasta,"-6.90520457739026, 107.5846280032345",,,,,,
3,SMAS YAS BANDUNG,20219277,SMA,Swasta,"-6.900041360866873, 107.64802670048033",,,,,,
3,SMAS PASUNDAN 4 BANDUNG,20219764,SMA,Swasta,"-6.915329054463692, 107.57262488627612",,,,,,
3,SMAS PLUS AL GHIFARI BANDUNG,20219776,SMA,Swasta,"-6.921305711340901, 107.68693988880119",,,,,,
3,SMAS DARUL QUR AN,20272023,SMA,Swasta,"-6.181837383398313, 106.69251403266992",,,,,,
3,SMA SANTA MARIA 2,20219264,SMA,Swasta,"-6.907465794281067, 107.65260818912581",,,,,,
3,SMAS PASUNDAN 1 BANDUNG,20219767,SMA,Swasta,"-6.922616598296324, 107.60841066683946",,,,,,
3,SMA KARTIKA XIX-2,20219725,SMA,Swasta,"-6.864508404736947, 107.58932770061188",,,,,,
3,SMAS AL ISLAM,20265517,SMA,Swasta,"-6.909098431827745, 107.72517649238145",,,,,,
3,SMA AL-KAUTSAR LABSCHOOL,70053054,SMA,Swasta,"-6.949084327649264, 107.64591526485819",,,,,,
3,SMKN 14 BANDUNG,20219160,SMK,Negeri,"-6.9621158993506675, 107.65738324122466",,,,,,
3,SMAS PURAGABAYA,20219521,SMA,Swasta,"-6.895130670712309, 107.5938465538444",,,,,,
3,SMAS JEND SUDIRMAN BANDUNG,20246324,SMA,Swasta,"-6.932378285957283, 107.59286541029358",,,,,,
3,SMAS PMB,20219762,SMA,Swasta,"-6.902682575773923, 107.68143983683497",,,,,,
3,SMAS SUMATRA 40-1,20247281,SMA,Swasta,"-6.899217706560104, 107.63641600793146",,,,,,
3,SMAS ALFA CENTAURI,20265518,SMA,Swasta,"-6.900791454705207, 107.6262633496501",,,,,,
3,SMAS BINTANG MULIA,20269170,SMA,Swasta,"-6.954275958274035, 107.60304073477036",,,,,,
3,SMA EDU GLOBAL,69946479,SMA,Swasta,"-6.895995334775366, 107.61497221347712",,,,,,
3,SMAS GUNA DHARMA,20219718,SMA,Swasta,"-6.917515689354485, 107.70835563507666",,,,,,
3,SMAS KRISTEN HIDUP BARU,20219796,SMA,Swasta,"-6.864813914222176, 107.60741038518783",,,,,,
3,SMA EL FITRA,70032579,SMA,Swasta,"-6.938307708383207, 107.6815763154409",,,,,,
4,SMA AL FALAH KOTA BANDUNG,20219758,SMA,Swasta,"-6.8825719497316875, 107.61546862109533",,,,,,
4,SMA DARUL HIKAM INTEGRATED SCHOOL,70052371,SMA,Swasta,"-6.9007620057953885, 107.62521107336315",,,,,,
4,SMA PELITA NUSANTARA,69882370,SMA,Swasta,"-6.901373073003133, 107.56996109125782",,,,,,
4,SMAS BINA BHAKTI 1,20219731,SMA,Swasta,,,,,,,
4,SMAS YPKKP BANDUNG,20219273,SMA,Swasta,,,,,,,
4,SMAS KARYA PEMBANGUNAN 2,20219735,SMA,Swasta,,,,,,,
4,SMAS BINA DHARMA 2 BANDUNG,20219739,SMA,Swasta,,,,,,,
4,SMAS REHOBOTH,20219793,SMA,Swasta,,,,,,,
4,SMA TEMASEK INDEPENDENT SCHOOL,69935558,SMA,Swasta,,,,,,,
4,SMAS BPN,20219723,SMA,Swasta,,,,,,,
4,SMAS ISTIQAMAH,20274909,SMA,Swasta,,,,,,,
4,SMKN 7 BANDUNG,20219141,SMK,Negeri,,,,,,,
4,SMA BANDUNG INDEPENDENT SCHOOL,69850868,SPK SMA,Swasta,,,,,,,
4,SMAS NUSANTARA,20219785,SMA,Swasta,,,,,,,
4,SMAS PRIBADI,20253836,SPK SMA,Swasta,,,,,,,
4,SMAS ALLOYSIUS 1,20219263,SMA,Swasta,,,,,,,
4,SMAS KALAM KUDUS,20219795,SMA,Swasta,,,,,,,
4,SMAS ADVENT,20219751,SMA,Swasta,,,,,,,
4,SMAS NUSANTARA 1,20219771,SMA,Swasta,,,,,,,
5,SMA PGII 1,20219782,SMA,Swasta,,,,,,,
5,SMAS BPI 1 BANDUNG,20219738,SMA,Swasta,,,,,,,
5,SMAS ADVENT CIMINDI BANDUNG,20219760,SMA,Swasta,,,,,,,
5,SMAS BINA BHAKTI 2,20219729,SMA,Swasta,,,,,,,
5,SMAS PGRI 3,20265521,SMA,Swasta,,,,,,,
5,SMAS PLUS MUTHAHHARI,20219775,SMA,Swasta,,,,,,,
5,SMAS SEBELAS MARET,20219261,SMA,Swasta,,,,,,,
5,SMAS BINA DHARMA 1 BANDUNG,20219752,SMA,Swasta,,,,,,,
5,SMAS KIFAYATUL ACHYAR,20219732,SMA,Swasta,,,,,,,
5,SMAS PGRI 2,20219779,SMA,Swasta,,,,,,,
5,SMKN 9 BANDUNG,20219139,SMK,Negeri,,,,,,,
5,SMAS PAHLAWAN TOHA,20219770,SMA,Swasta,,,,,,,
5,SMAS KARTIKA XIX-1,20219727,SMA,Swasta,,,,,,,
5,SMAS PLUS PARIWISATA,20265522,SMA,Swasta,,,,,,,
5,SMAS KARTIKA XIX-3,20219726,SMA,Swasta,,,,,,,
5,SMA Global Prestasi Bandung,69953506,SPK SMA,Swasta,,,,,,,
6,SMAIT MIFTAHUL KHOIR,20219716,SMA,Swasta,,,,,,,
6,SMAS KEMALA BHAYANGKARI,20219733,SMA,Swasta,,,,,,,
6,SMAS BPK 3 PENABUR BANDUNG,20219715,SMA,Swasta,,,,,,,
6,SMAS BPK 1 PENABUR BANDUNG,20219730,SMA,Swasta,,,,,,,
6,SMAS LABORATORIUM - PERCONTOHAN UPI,20219790,SMA,Swasta,,,,,,,
6,SMAS KRIDA NUSANTARA,20219270,SMA,Swasta,,,,,,,
6,SMK BUMI SILIWANGI,20219284,SMK,Swasta,,,,,,,
6,SMAS PASUNDAN 9 BANDUNG,20253086,SMA,Swasta,,,,,,,
6,SMAS ST MARIA 1 BANDUNG,20219265,SMA,Swasta,,,,,,,
6,SMAS YPS,20219275,SMA,Swasta,,,,,,,
6,SMAS ST ANGELA,20219266,SMA,Swasta,,,,,,,
7,SMAS 19 BUMI SIL,20219749,SMA,Swasta,,,,,,,
7,SMAS MAARIF BANDUNG,20219800,SMA,Swasta,,,,,,,
7,SMAS LPPN,20219799,SMA,Swasta,,,,,,,
7,SMAS BPK 2 PENABUR,20219728,SMA,Swasta,,,,,,,
7,SMAS PASUNDAN 5 BANDUNG,20219763,SMA,Swasta,,,,,,,
7,SMAS MUHAMMADIYAH 4,20219804,SMA,Swasta,,,,,,,
7,SMKS PGRI BANDUNG,20219154,SMK,Swasta,,,,,,,
7,SMAS SWADAYA BANDUNG,20219259,SMA,Swasta,,,,,,,
7,SMAS TARUNA BAKTI,20219269,SMA,Swasta,,,,,,,
7,SMA Nehru Memorial School,69895438,SPK SMA,Swasta,,,,,,,
8,SMAS DARUL HIKAM BANDUNG,20219720,SMA,Swasta,,,,,,,
8,SMAS MEDINA BANDUNG,20219808,SMA,Swasta,,,,,,,
8,SMAS MUTIARA 1,20219801,SMA,Swasta,,,,,,,
8,SMAS KRISTEN PAULUS,20219794,SMA,Swasta,,,,,,,
8,SMKS SETIA BHAKTI,20265543,SMK,Swasta,,,,,,,
8,SMAS YAHYA,20219791,SMA,Swasta,,,,,,,
9,SMAS KEMAH IND 2,20219734,SMA,Swasta,,,,,,,
9,SMAS MUHAMMADIYAH 1,20219807,SMA,Swasta,,,,,,,
9,SMAS MUTIARA 2 BANDUNG,20219787,SMA,Swasta,,,,,,,
9,SMAS TRI MULIA,20219792,SMA,Swasta,,,,,,,
10,SMAS KRISTEN DAGO,20219797,SMA,Swasta,,,,,,,
10,SMAS MUHAMMADIYAH 3,20219805,SMA,Swasta,,,,,,,
10,SMAS PASUNDAN 3 BANDUNG,20219765,SMA,Swasta,,,,,,,
10,SMAS YPI,20219274,SMA,Swasta,,,,,,,
11,SMAS NASIONAL,20247286,SMA,Swasta,,,,,,,
11,SMAS TAMAN SISWA BANDUNG,20219268,SMA,Swasta,,,,,,,
11,SMAS PASUNDAN 7 BANDUNG,20219773,SMA,Swasta,,,,,,,
12,SMAS PASUNDAN 2 BANDUNG,20219766,SMA,Swasta,,,,,,,
12,SMAS RAJAWALI,20219267,SMA,Swasta,,,,,,,
13,SMAS PASUNDAN 8 BANDUNG,20219774,SMA,Swasta,,,,,,,
13,SMAS TRINITAS BANDUNG,20219279,SMA,Swasta,,,,,,,
14,SMAS YWKA,20219272,SMA,Swasta,No,Nama Sekolah,NPSN,BP,Status,Last Sync,Latitude & Longitude
1,SMP NEGERI 19,20219348,SMP,Negeri,"-6.885711387497362, 107.62177992677826",,,,,,
1,SMP NEGERI 13,20219339,SMP,Negeri,"-6.932422529716546, 107.6221365634384",,,,,,
1,SMP NEGERI 23,20219328,SMP,Negeri,"-6.914538039708762, 107.58935128058786",,,,,,
1,SMP NEGERI 1,20219337,SMP,Negeri,"-6.911533026572882, 107.59666676755354",,,,,,
1,SMP NEGERI 22,20219342,SMP,Negeri,"-6.911672823181734, 107.63371660803456",,,,,,
1,SMP NEGERI 55,69963624,SMP,Negeri,"-6.940330487822251, 107.55781072152877",,,,,,
1,SMP NEGERI 17,20219350,SMP,Negeri,"-6.90621272035827, 107.67311375405976",,,,,,
1,SMP NEGERI 50,20219378,SMP,Negeri,"-6.90714367373339, 107.69718206570545",,,,,,
1,SMP NEGERI 30,20219411,SMP,Negeri,"-6.935029662655961, 107.64465778814952",,,,,,
1,SMP NEGERI 10,20219332,SMP,Negeri,"-6.928960979778329, 107.60571919454118",,,,,,
1,SMP NEGERI 12,20219330,SMP,Negeri,"-6.864707778596851, 107.5933441672328",,,,,,
1,SMP NEGERI 46,20219383,SMP,Negeri,"-6.915321578972691, 107.72509129638907",,,,,,
1,SMP NEGERI 18,20219349,SMP,Negeri,"-6.9515484936774685, 107.64158607919974",,,,,,
1,SMP NEGERI 45,20219384,SMP,Negeri,"-6.921563528301925, 107.65990450803478",,,,,,
1,SMP NEGERI 21,20219343,SMP,Negeri,"-6.943279504844511, 107.5801594800334",,,,,,
1,SMP NEGERI 26,20219408,SMP,Negeri,"-6.882422756562475, 107.57739876385692",,,,,,
1,SMP NEGERI 24,20219410,SMP,Negeri,"-6.936178135263332, 107.58672563687045",,,,,,
1,SMP NEGERI 20,20219344,SMP,Negeri,"-6.918992325576219, 107.62598635036387",,,,,,
1,SMP NEGERI 48,20219381,SMP,Negeri,"-6.964547276138787, 107.66574975431563",,,,,,
1,SMP NEGERI 53,69775307,SMP,Negeri,"-6.899034967796887, 107.68090743686989",,,,,,
1,SMP NEGERI 16,20219351,SMP,Negeri,"-6.899307514509958, 107.64228070803432",,,,,,
1,SMP NEGERI 14,20219340,SMP,Negeri,"-6.907982723164513, 107.63040022337623",,,,,,
1,SMP NEGERI 38,20251907,SMP,Negeri,"-6.958105498601359, 107.59149436755425",,,,,,
1,SMP NEGERI 2,20219347,SMP,Negeri,"-6.913721879960142, 107.61383856570541",,,,,,
1,SMP NEGERI 56,69963625,SMP,Negeri,"-6.92384286546949, 107.70514518152126",,,,,,
1,SMP NEGERI 52,20219389,SMP,Negeri,"-6.860445900804734, 107.60640563871735",,,,,,
1,SMP NEGERI 25,20219409,SMP,Negeri,"-6.925339830258756, 107.60084489269308",,,,,,
1,SMP NEGERI 54,69894966,SMP,Negeri,"-6.957892146806031, 107.7064264540606",,,,,,
1,SMP NEGERI 34,20219421,SMP,Negeri,"-6.950225893190069, 107.62600112337688",,,,,,
1,SMP PGRI 9,20219492,SMP,Swasta,"-6.940568338580727, 107.6916196215287",,,,,,
2,SMP NEGERI 35,20219420,SMP,Negeri,"-6.874428107365522, 107.61702370988206",,,,,,
2,SMP NEGERI 28,20219406,SMP,Negeri,"-6.9375408365884415, 107.62616839454132",,,,,,
2,SMP NEGERI 32,20219413,SMP,Negeri,"-6.915285629740308, 107.59097608289535",,,,,,
2,SMP NEGERI 47,20219382,SMP,Negeri,"-6.889919471413776, 107.5588561522115",,,,,,
2,SMP NEGERI 27,20219407,SMP,Negeri,"-6.904782668601836, 107.63453146570538",,,,,,
2,SMP NEGERI 57,69963626,SMP,Negeri,"-6.937047439238129, 107.55342539269327",,,,,,
2,SMP BAHTERA,20280583,SMP,Swasta,"-6.920983428001425, 107.67153970803471",,,,,,
2,SMP NEGERI 8,20219396,SMP,Negeri,"-6.91298737302934, 107.70177888104723",,,,,,
2,SMP NEGERI 37,20219418,SMP,Negeri,"-6.925725632641644, 107.65620896385764",,,,,,
2,SMP NEGERI 11,20219331,SMP,Negeri,"-6.934567784009752, 107.6079850080349",,,,,,
2,SMP NEGERI 15,20219341,SMP,Negeri,"-6.8741768487235015, 107.59565535221121",,,,,,
